Duration,Received echo requests,label
0.00002,1,0
1.00066,2,0
2.003343,3,0
3.004835,4,0
4.008014,5,0
5.007531,6,0
6.011577,7,0
7.007851,8,0
8.012637,9,0
9.015198,10,0
10.016235,11,0
11.016913,12,0
12.018956,13,0
13.014686,14,0
14.020983,15,0
15.022774,16,0
16.029214,17,0
17.024349,18,0
18.024211,19,0
19.02446,20,0
20.0294,21,0
21.025745,22,0
22.029149,23,0
23.032469,24,0
24.030095,25,0
25.031921,26,0
26.034221,27,0
27.034724,28,0
28.035934,29,0
29.038184,30,0
30.038145,31,0
31.039687,32,0
32.040976,33,0
33.043127,34,0
34.044165,35,0
35.045734,36,0
36.046638,37,0
37.045822,38,0
38.053517,39,0
39.048654,40,0
40.064147,41,0
41.022245,42,0
42.02111,43,0
43.02457,44,0
44.050548,45,0
45.059576,46,0
46.057275,47,0
47.057015,48,0
48.065171,49,0
49.065507,50,0
50.061287,51,0
51.061205,52,0
52.064674,53,0
53.061959,54,0
54.067017,55,0
55.070648,56,0
56.074109,57,0
57.072289,58,0
58.071888,59,0
59.083674,60,0
60.076558,61,0
61.083773,62,0
62.082137,63,0
63.084594,64,0
64.088246,65,0
65.088029,66,0
66.08801,67,0
67.087635,68,0
68.0855,69,0
69.083504,70,0
70.085235,71,0
71.088089,72,0
72.093975,73,0
73.093057,74,0
74.096601,75,0
75.092397,76,0
76.052134,77,0
77.101062,78,0
78.06898,79,0
79.104147,80,0
80.1054,81,0
81.104199,82,0
82.107666,83,0
83.077471,84,0
84.044353,85,0
85.10662,86,0
86.110484,87,0
87.113847,88,0
88.114944,89,0
89.114704,90,0
90.114316,91,0
91.116452,92,0
92.066237,93,0
93.119055,94,0
94.119951,95,0
95.127243,96,0
96.121708,97,0
97.125986,98,0
98.12546,99,0
99.123656,100,0
100.126859,101,0
101.084308,102,0
102.127788,103,0
103.129567,104,0
104.13317,105,0
105.124372,106,0
106.134647,107,0
107.140803,108,0
108.136268,109,0
109.142274,110,0
110.139242,111,0
111.137649,112,0
112.142694,113,0
113.13388,114,0
114.143613,115,0
115.144741,116,0
116.148207,117,0
117.15319,118,0
118.149074,119,0
119.147102,120,0
120.151272,121,0
121.149643,122,0
122.155422,123,0
123.150611,124,0
124.157892,125,0
125.159187,126,0
126.106616,127,0
127.158911,128,0
128.162505,129,0
129.163031,130,0
130.159911,131,0
131.166316,132,0
132.167524,133,0
133.172454,134,0
134.168296,135,0
135.168181,136,0
136.171898,137,0
137.172616,138,0
138.172747,139,0
139.17033,140,0
140.174157,141,0
141.131685,142,0
142.183787,143,0
143.180191,144,0
144.182557,145,0
145.173374,146,0
146.173955,147,0
147.086004,148,0
148.189741,149,0
149.114794,150,0
150.187175,151,0
151.19166,152,0
152.192449,153,0
153.186254,154,0
154.086152,155,0
155.199559,156,0
156.198778,157,0
157.19795,158,0
158.196031,159,0
159.135138,160,0
160.203118,161,0
161.113532,162,0
162.207557,163,0
163.20833,164,0
164.205371,165,0
165.206516,166,0
166.210657,167,0
167.217296,168,0
168.208111,169,0
169.213704,170,0
170.215684,171,0
171.214543,172,0
172.221035,173,0
173.2187,174,0
174.226035,175,0
175.221187,176,0
176.165188,177,0
177.124926,178,0
178.230249,179,0
179.228541,180,0
180.226747,181,0
181.123243,182,0
182.103275,183,0
183.233935,184,0
184.235715,185,0
185.23664,186,0
186.236225,187,0
187.23565,188,0
188.088468,189,0
189.237117,190,0
190.241067,191,0
191.241351,192,0
192.246778,193,0
193.250811,194,0
194.246123,195,0
195.24658,196,0
196.248885,197,0
197.249355,198,0
198.25038,199,0
199.253383,200,0
200.251865,201,0
201.253529,202,0
202.264433,203,0
203.255798,204,0
204.258041,205,0
205.2629,206,0
206.267109,207,0
207.189922,208,0
208.257991,209,0
209.268017,210,0
210.269127,211,0
211.267567,212,0
212.269967,213,0
213.268026,214,0
214.271309,215,0
215.272064,216,0
216.280094,217,0
217.274362,218,0
218.275942,219,0
219.282836,220,0
220.282854,221,0
221.279372,222,0
222.177707,223,0
223.278788,224,0
224.285368,225,0
225.279417,226,0
226.284308,227,0
227.285458,228,0
228.282134,229,0
229.298023,230,0
230.288709,231,0
231.291627,232,0
232.296101,233,0
233.201124,234,0
234.301985,235,0
235.300664,236,0
236.220528,237,0
237.307707,238,0
238.301676,239,0
239.307102,240,0
240.304821,241,0
241.306127,242,0
242.305755,243,0
243.309222,244,0
244.306634,245,0
245.267432,246,0
246.131973,247,0
247.137732,248,0
248.31702,249,0
249.313445,250,0
250.320061,251,0
251.322695,252,0
252.314846,253,0
253.318287,254,0
254.164207,255,0
255.139662,256,0
256.323363,257,0
257.329169,258,0
258.306481,259,0
259.33487,260,0
260.332958,261,0
261.332405,262,0
262.330632,263,0
263.331205,264,0
264.33483,265,0
265.335134,266,0
266.343728,267,0
267.347502,268,0
268.327176,269,0
269.343333,270,0
270.345012,271,0
271.343022,272,0
272.346596,273,0
273.353012,274,0
274.349097,275,0
275.352553,276,0
276.355775,277,0
277.356625,278,0
278.355556,279,0
279.359325,280,0
280.358144,281,0
281.360537,282,0
282.358346,283,0
283.364019,284,0
284.363701,285,0
285.366935,286,0
286.368437,287,0
287.366685,288,0
288.359424,289,0
289.365811,290,0
290.314985,291,0
291.370242,292,0
292.374398,293,0
293.203871,294,0
294.375537,295,0
295.380171,296,0
296.374977,297,0
297.380489,298,0
298.384574,299,0
299.163415,300,0
300.376695,301,0
301.287426,302,0
302.1672,303,0
303.167943,304,0
304.1662,305,0
305.286394,306,0
306.287456,307,0
307.395119,308,0
308.396241,309,0
309.394259,310,0
310.38836,311,0
311.35453,312,0
312.394699,313,0
313.394782,314,0
314.399195,315,0
315.401057,316,0
316.359203,317,0
317.397005,318,0
318.405589,319,0
319.408621,320,0
320.406007,321,0
321.406374,322,0
322.41085,323,0
323.358199,324,0
324.40825,325,0
325.415891,326,0
326.415535,327,0
327.416223,328,0
328.413357,329,0
329.417501,330,0
330.421154,331,0
331.418743,332,0
332.425274,333,0
333.430416,334,0
334.427726,335,0
335.422453,336,0
336.425822,337,0
337.642022,338,0
338.187749,339,0
339.433316,340,0
340.27829,341,0
341.434856,342,0
342.436088,343,0
343.431415,344,0
344.434746,345,0
345.440627,346,0
346.43349,347,0
347.438696,348,0
348.437139,349,0
349.448263,350,0
350.444157,351,0
351.44725,352,0
352.441477,353,0
353.451333,354,0
354.231642,355,0
355.197821,356,0
356.445774,357,0
357.458743,358,0
358.451654,359,0
359.354742,360,0
360.198635,361,0
361.449623,362,0
362.457452,363,0
363.458019,364,0
364.462829,365,0
365.462125,366,0
366.467417,367,0
367.468992,368,0
368.467605,369,0
369.463664,370,0
370.472869,371,0
371.279155,372,0
372.205638,373,0
373.478726,374,0
374.250089,375,0
375.476418,376,0
376.48114,377,0
377.480346,378,0
378.478523,379,0
379.475541,380,0
380.485596,381,0
381.484364,382,0
382.485186,383,0
383.488811,384,0
384.346843,385,0
385.489661,386,0
386.486384,387,0
387.493077,388,0
388.493331,389,0
389.490707,390,0
390.342139,391,0
391.499512,392,0
392.500797,393,0
393.493985,394,0
394.484849,395,0
395.504935,396,0
396.50003,397,0
397.501103,398,0
398.504293,399,0
399.506729,400,0
400.507436,401,0
401.40241,402,0
402.505428,403,0
403.51519,404,0
404.507018,405,0
405.508318,406,0
406.513876,407,0
407.269597,408,0
408.511312,409,0
409.523626,410,0
410.515584,411,0
411.523652,412,0
412.516459,413,0
413.255885,414,0
414.516621,415,0
415.493907,416,0
416.536163,417,0
417.532041,418,0
418.340191,419,0
419.525282,420,0
420.529877,421,0
421.533202,422,0
422.543198,423,0
423.531814,424,0
424.267591,425,0
425.541476,426,0
426.539741,427,0
427.537597,428,0
428.540102,429,0
429.539751,430,0
430.547825,431,0
431.536618,432,0
432.387694,433,0
433.242324,434,0
434.23794,435,0
435.244826,436,0
436.241205,437,0
437.554702,438,0
438.261096,439,0
439.551043,440,0
440.558258,441,0
441.554585,442,0
442.556806,443,0
443.381201,444,0
444.561006,445,0
445.5589,446,0
446.559786,447,0
447.573735,448,0
448.564051,449,0
449.569594,450,0
450.569294,451,0
451.570851,452,0
452.576293,453,0
453.573866,454,0
454.571149,455,0
455.520692,456,0
456.284895,457,0
457.258372,458,0
458.260121,459,0
459.575479,460,0
460.582439,461,0
461.256589,462,0
462.587493,463,0
463.584743,464,0
464.587121,465,0
465.581122,466,0
466.583076,467,0
467.593738,468,0
468.59423,469,0
469.589596,470,0
470.591834,471,0
471.591866,472,0
472.594565,473,0
473.595314,474,0
474.467472,475,0
475.609441,476,0
476.615441,477,0
477.601367,478,0
478.605773,479,0
479.605682,480,0
480.605134,481,0
481.611113,482,0
482.605445,483,0
483.607307,484,0
484.524851,485,0
485.271961,486,0
486.615604,487,0
487.524258,488,0
488.606762,489,0
489.622864,490,0
490.625886,491,0
491.518392,492,0
492.279307,493,0
493.26825,494,0
494.274215,495,0
495.624371,496,0
496.626504,497,0
497.62597,498,0
498.447765,499,0
499.635215,500,0
